month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment,year,day,quarters,Time Period,Fare Evasion
01,Bronx,1,Local,BX1,Off-Peak,"17,310","23,042",75.123686%,2019,01,Q1,2019-Q1,25%
01,Bronx,1,Local,BX1,Peak,"7,482","11,578",64.62256%,2019,01,Q1,2019-Q1,25%
01,Bronx,2,Local,BX1,Off-Peak,"5,983","8,168",73.24926%,2019,01,Q1,2019-Q1,25%
01,Bronx,2,Local,BX1,Peak,"2,183","3,189",68.45406%,2019,01,Q1,2019-Q1,25%
01,Bronx,1,Local,BX10,Off-Peak,"13,213","16,435",80.395496%,2019,01,Q1,2019-Q1,25%
01,Bronx,1,Local,BX10,Peak,"5,542","8,155",67.95831%,2019,01,Q1,2019-Q1,25%
01,Bronx,2,Local,BX10,Off-Peak,"4,379","5,263",83.203495%,2019,01,Q1,2019-Q1,25%
01,Bronx,2,Local,BX10,Peak,"1,532","2,005",76.408976%,2019,01,Q1,2019-Q1,25%
01,Bronx,1,Local,BX11,Off-Peak,"10,194","13,283",76.74471%,2019,01,Q1,2019-Q1,25%
01,Bronx,1,Local,BX11,Peak,"5,131","7,988",64.23385%,2019,01,Q1,2019-Q1,25%
01,Bronx,2,Local,BX11,Off-Peak,"3,943","5,062",77.894115%,2019,01,Q1,2019-Q1,25%
01,Bronx,2,Local,BX11,Peak,"1,615","2,144",75.32649%,2019,01,Q1,2019-Q1,25%
01,Bronx,1,Local,BX12,Off-Peak,"14,525","17,077",85.055923%,2019,01,Q1,2019-Q1,25%
01,Bronx,1,Local,BX12,Peak,"4,696","6,506",72.179526%,2019,01,Q1,2019-Q1,25%
01,Bronx,2,Local,BX12,Off-Peak,"6,453","7,751",83.25377%,2019,01,Q1,2019-Q1,25%
01,Bronx,2,Local,BX12,Peak,"1,957","2,361",82.88861%,2019,01,Q1,2019-Q1,25%
01,Bronx,1,Local,BX13,Off-Peak,"9,516","11,603",82.013273%,2019,01,Q1,2019-Q1,25%
01,Bronx,1,Local,BX13,Peak,"4,498","6,446",69.779706%,2019,01,Q1,2019-Q1,25%
